date,fiction,non-fiction
2014-07-20,707,0
2014-07-21,270,0
2014-07-22,0,0
2014-07-23,0,0
2014-07-24,0,0
2014-07-25,72,0
2014-07-26,2544,0
2014-07-27,1254,0
2014-07-28,168,0
2014-07-29,0,0
2014-07-30,0,0
2014-07-31,0,0
2014-08-01,178,0
2014-08-02,3256,0
2014-08-03,2369,0
2014-08-04,679,0
2014-08-05,0,0
2014-08-06,0,0
2014-08-07,0,0
2014-08-08,282,0
2014-08-09,0,0
2014-08-10,0,0
2014-08-11,124,0
2014-08-12,0,0
2014-08-13,0,0
2014-08-14,0,0
2014-08-15,27,0
2014-08-16,0,0
2014-08-17,0,0
2014-08-18,0,0
2014-08-19,0,0
2014-08-20,0,0
2014-08-21,10,0
2014-08-22,122,0
2014-08-23,515,0
2014-08-24,2532,0
2014-08-25,1523,0
2014-08-26,727,0
2014-08-27,550,0
2014-08-28,84,0
2014-08-29,200,0
2014-08-30,231,0
2014-08-31,229,0
2014-09-01,230,0
2014-09-02,236,0
2014-09-03,347,0
2014-09-04,729,0
2014-09-05,690,0
2014-09-06,989,0
2014-09-07,1477,0
2014-09-08,864,0
2014-09-09,178,0
2014-09-10,50,0
2014-09-11,50,0
2014-09-12,35,0
2014-09-13,107,0
2014-09-14,3591,0
2014-09-15,509,0
2014-09-16,212,0
2014-09-18,0,0
2014-09-20,0,0
2014-09-20,0,0
2014-09-21,0,0
2014-09-26,0,0
2014-09-26,0,0
2014-09-28,0,0
2014-09-29,0,0
2014-09-30,0,0
2014-09-30,0,0
2014-10-03,0,0
2014-10-04,0,0
2014-10-04,0,0
2014-10-04,0,0
2014-10-05,0,0
2014-10-05,0,0
2014-10-07,0,0
2014-10-07,0,0
2014-10-08,0,0
2014-10-12,0,0
2014-10-12,0,0
2014-10-13,0,0
2014-10-14,0,0
2014-10-15,0,0
2014-10-15,0,0
2014-11-09,0,0
2014-11-10,53,0
2014-11-11,16,0
2014-11-13,0,0
2014-11-14,0,0
2014-11-15,0,0
2014-11-16,0,0
2014-11-18,0,0
2014-11-19,0,0
2014-11-20,0,0
2014-11-21,0,0
2014-11-22,0,0
2014-11-23,0,0
2014-11-24,0,0
2014-11-25,0,0
2014-11-26,0,0
2014-11-27,0,0
2014-11-28,0,0
2014-11-29,0,0
2014-11-30,0,0
2014-12-02,0,0
2014-12-03,0,0
2014-12-04,0,0
2014-12-05,0,0
2014-12-06,0,0
2014-12-07,0,0
2014-12-08,366,0
2014-12-09,0,0
2014-12-10,0,0
2014-12-11,0,0
2014-12-13,0,0
2014-12-13,0,0
2014-12-14,0,0
2014-12-16,0,0
2014-12-17,613,0
2014-12-18,0,0
2014-12-19,0,0
2014-12-20,0,0
2014-12-21,0,0
2014-12-22,0,0
2014-12-23,0,0
2014-12-24,0,0
2014-12-25,0,0
2014-12-26,0,0
2014-12-27,0,0
2014-12-28,0,0
2014-12-29,0,0
2014-12-30,0,0
2015-01-01,0,0
2015-01-02,152,0
2015-01-02,0,0
2015-01-04,0,0
2015-01-05,0,84
2015-01-06,2,0
2015-01-07,0,0
2015-01-09,0,0
2015-01-09,0,0
2015-01-11,11,407
2015-01-12,0,30
2015-01-13,0,0
2015-01-14,0,0
2015-01-15,0,0
2015-01-17,0,188
2015-01-18,69,0
2015-01-19,0,254
2015-01-20,0,0
2015-01-21,0,0
2015-01-23,0,0
2015-01-24,700,1003
2015-01-25,0,0
2015-01-26,0,0
2015-01-28,0,22
2015-01-29,0,10
2015-01-30,0,0
2015-01-31,0,357
2015-02-01,0,1142
2015-02-02,2,768
2015-02-03,0,189
2015-02-04,0,20
2015-02-06,0,0
2015-02-07,0,957
2015-02-08,0,1016
2015-02-09,78,143
2015-02-10,0,0
2015-02-11,1,9
2015-02-12,0,21
2015-02-13,0,0
2015-02-14,0,25
2015-02-15,0,693
